Company name;Sector;Country headquarters;Country of alleged abuses;Day;Month;Year;Summary;Issue;Responded;Link to company response;Link to company page
Adaptive Mobile;Technology, telecom & electronics;Ireland;Middle East & No. Africa: General;06;Dec;2011;;Deaths | Injuries | Torture & ill-treatment;Yes;https://www.business-humanrights.org/en/response-by-adaptive-mobile-human-rights-first-says-companies-providing-surveillance-technology-to-oppressive-regimes-in-the-middle-east-contribute-to-human-rights-abuses;https://www.business-humanrights.org/en/adaptive-mobile
Adaro Energy;Oil, gas & coal;Indonesia;Indonesia;25;Jan;2012;BHP Billiton: Dirty Energy - Alternative Annual Report 2011;Environment: General | Climate change | Indigenous peoples | Free, prior & informed consent;Yes;https://www.business-humanrights.org/en/response-by-adaro-energy-london-mining-network-friends-of-the-earth-released-bhp-billiton-dirty-energy-‘alternative-annual-report-2011;https://www.business-humanrights.org/en/adaro-energy
Addax & Oryx Group;Energy;Malta;Africa: General;02;Oct;2016;"Africa: Oil trading firms accused of selling ""Dirty Diesel"", causing illnesses & early deaths";Environment: General | Health: General (including workplace health & safety) | Illness;Yes;https://www.business-humanrights.org/en/addax-oryx-group-response;https://www.business-humanrights.org/en/addax-oryx-group
Addax Bioenergy (part of Addax & Oryx Group);Bioenergy;Switzerland;Sierra Leone;15;Jul;2014;ActionAid report says intl. aid & public policies facilitate corporate land grabs, leaving farmers impoverished & vulnerable ;Land rights;Yes;https://www.business-humanrights.org/en/addax-bioenergy-responded;https://www.business-humanrights.org/en/addax-bioenergy-part-of-addax-oryx-group
Addax Bioenergy (part of Addax & Oryx Group);Bioenergy;Switzerland;Sierra Leone;15;Jul;2014;NGOs fordern Gesetzesreform in Deutschland im Hinblick auf Menschenrechtsverletzungen durch transnationale Unternehmen;Land rights;Yes;https://www.business-humanrights.org/de/antwort-von-addax-bioenergy;https://www.business-humanrights.org/en/addax-bioenergy-part-of-addax-oryx-group
Addax Bioenergy (part of Addax & Oryx Group);Bioenergy;Switzerland;Sierra Leone;17;Jun;2011;Sierra Leone: Study claims villagers are displaced by Addax Bioenergy's ethanol plantation leading to loss of livelihood & access to water;Women | Labour: General | Complaints mechanism;Yes;https://www.business-humanrights.org/en/statement-by-addax-bioenergy-in-response-to-a-report-commissioned-by-swiss-and-german-ngo’s-on-15th-june-2011;https://www.business-humanrights.org/en/addax-bioenergy-part-of-addax-oryx-group
adidas;Clothing & textile | Footwear | Retail | Sporting goods;Germany;Israel & Occupied Palestinian Territories;31;Mar;2018;Palestinian civil society welcomes end of partnership between adidas and Israel Football Association;Security issues & conflict zones: General;Yes;https://www.business-humanrights.org/en/adidas-responded-to-human-rights-concerns-regarding-its-sponsorship-of-the-israel-football-association;https://www.business-humanrights.org/en/adidas
adidas;Clothing & textile | Footwear | Retail | Sporting goods;Germany;Indonesia;16;Mar;2018;"Clean Clothes Campaign to file complaint against Adidas to German National Contact Point for allegedly breaching OECD guidelines in Indonesia; incl. co response";Labour: General;Yes;https://www.business-humanrights.org/en/response-by-adidas-3;https://www.business-humanrights.org/en/adidas
adidas;Clothing & textile | Footwear | Retail | Sporting goods;Germany;Ukraine;19;Dec;2017;"Ukraine, Serbia & Hungary: Report by Clean Clothes Campaign details poverty wages & poor working conditions in garment factories producing for global brands; incl. co responses";Labour: General;Yes;https://www.business-humanrights.org/en/response-by-adidas-2;https://www.business-humanrights.org/en/adidas
adidas;Clothing & textile | Footwear | Retail | Sporting goods;Germany;Germany;02;Oct;2017;Indonesia: Adidas & Mizuno failed to address labour rights abuses in supplier factory, says Clean Clothes Campaign;"Supply chain/""Fair trade""";Yes;https://www.business-humanrights.org/en/response-by-adidas-1;https://www.business-humanrights.org/en/adidas
adidas;Clothing & textile | Footwear | Retail | Sporting goods;Germany;Bulgaria;20;Jul;2016;"Reports allege poor working conditions in shoe supply chains in Eastern Europe; company responses included";Labour: General;Yes;https://www.business-humanrights.org/en/response-by-adidas-0;https://www.business-humanrights.org/en/adidas
adidas;Clothing & textile | Footwear | Retail | Sporting goods;Germany;Asia & Pacific: General | Cambodia | China | Indonesia | Vietnam;07;Jun;2016;"Une ONG souligne l’impact du modèle économique d’adidas, Nike et Puma sur les travailleurs de leurs chaînes d’approvisionnement ; avec les réponses des entreprises";"Labour: General | Living wage | Supply chain/""Fair trade""";Yes;https://www.business-humanrights.org/fr/réponse-dadidas;https://www.business-humanrights.org/en/adidas
adidas;Clothing & textile | Footwear | Retail | Sporting goods;Germany;Asia & Pacific: General | Cambodia | China | Indonesia | Vietnam;07;Jun;2016;"NGO highlights impact of economic model of adidas, Nike & Puma on workers in their supply chains; companies respond";"Labour: General | Living wage | Supply chain/""Fair trade""";Yes;https://www.business-humanrights.org/en/adidas-response-1;https://www.business-humanrights.org/en/adidas
adidas;Clothing & textile | Footwear | Retail | Sporting goods;Germany;Turkey;22;Jan;2016;Responses by garment brands to our questionnaire on the treatment of Syrian refugees in Turkish supplier factories;"Migrant & immigrant workers | Labour: General | Supply chain/""Fair trade""";Yes;https://www.business-humanrights.org/en/response-by-adidas;https://www.business-humanrights.org/en/adidas
adidas;Clothing & textile | Footwear | Retail | Sporting goods;Germany;Indonesia;16;Nov;2015;"Indonesia: Union alleges freedom of association & wage concerns in Panarub factory, linked to adidas & Mizuno; includes responses & rejoinders";Denial of freedom of association (see Labour: General) | Labour: General | Living wage;Yes;https://www.business-humanrights.org/en/adidas-response-0;https://www.business-humanrights.org/en/adidas
adidas;Clothing & textile | Footwear | Retail | Sporting goods;Germany;Myanmar;08;Jul;2015;"Myanmar govt. proposes daily minimum wage of 3,600 kyats; factories call for lower pay, unions & workers protest - includes statements by intl. brands";Labour: General | Child labour | Living wage;Yes;https://www.business-humanrights.org/en/adidas-group-response-on-minimum-wage-in-myanmar;https://www.business-humanrights.org/en/adidas
adidas;Clothing & textile | Footwear | Retail | Sporting goods;Germany;Qatar;27;May;2015;Companies asked to respond to questions on their sponsorship of FIFA and human rights;Migrant & immigrant workers | Forced labour & modern slavery;Yes;https://www.business-humanrights.org/en/adidas-response;https://www.business-humanrights.org/en/adidas
adidas;Clothing & textile | Footwear | Retail | Sporting goods;Germany;Indonesia;16;Oct;2012;Indonesia: Workers Rights Consortium comments on adidas' communication to universities re alleged labour rights abuses at supplier factor, PT Kizone;"Labour: General | Supply chain/""Fair trade""";Yes;https://www.business-humanrights.org/en/response-to-request-for-feedback-on-pt-kizone-case-in-indonesia-0;https://www.business-humanrights.org/en/adidas
adidas;Clothing & textile | Footwear | Retail | Sporting goods;Germany;Indonesia;12;May;2012;Indonesia: Clean Clothes Campaign urges adidas to contribute to severance payments owed to workers after its supplier factory Kizone closed - other brands have contributed;"Labour: General | Supply chain/""Fair trade""";Yes;https://www.business-humanrights.org/en/response-to-request-for-feedback-on-pt-kizone-case-in-indonesia;https://www.business-humanrights.org/en/adidas
adidas;Clothing & textile | Footwear | Retail | Sporting goods;Germany;United Kingdom;01;Mar;2012;Investors call on Olympic sponsors, tourism sector to step up anti-trafficking, slavery efforts in advance of London Olympics;Slavery | Forced labour & modern slavery | Human trafficking;Yes;https://www.business-humanrights.org/en/statement-by-adidas-group-in-response-to-human-rights-concerns-re-london-olympics;https://www.business-humanrights.org/en/adidas
adidas;Clothing & textile | Footwear | Retail | Sporting goods;Germany;;01;Mar;2012;Investors call on Olympic sponsors, tourism sector to step up anti-trafficking, slavery efforts in advance of London Olympics;;Yes;https://www.business-humanrights.org/de/statement-der-adidas-group-als-antwort-zu-menschenrechtsbedenken-angesichts-der-london-olympics;https://www.business-humanrights.org/en/adidas
adidas;Clothing & textile | Footwear | Retail | Sporting goods;Germany;El Salvador;23;Mar;2010;NLC report re Chi Fung Factory - Feb 2010;Women | Labour: General;Yes;https://www.business-humanrights.org/en/response-by-adidas-national-labor-committee-alleges-labour-abuses-at chi-fung factory-supplying-reebok-part-of-adidas -national-football-league-0;https://www.business-humanrights.org/en/adidas
adidas;Clothing & textile | Footwear | Retail | Sporting goods;Germany;El Salvador;17;Feb;2010;NLC report re Chi Fung Factory - Feb 2010;;Yes;https://www.business-humanrights.org/en/response-by-adidas-national-labor-committee-alleges-labour-abuses-at chi-fung factory-supplying-reebok-part-of-adidas -national-football-league;https://www.business-humanrights.org/en/adidas
adidas;Clothing & textile | Footwear | Retail | Sporting goods;Germany;China;16;Apr;2008;China: Allegations of rigged union elections and poor working conditions at factory supplying adidas;"Labour: General | Supply chain/""Fair trade""";Yes;https://www.business-humanrights.org/en/response-by-adidas-allegations-of-rigged-union-election-at-shunda-factory-decline-in-working-conditions-since-adidas-acquired-reebok;https://www.business-humanrights.org/en/adidas
adidas;Clothing & textile | Footwear | Retail | Sporting goods;Germany;China;16;Apr;2008;China: Allegations of labour abuses at factory supplying adidas (Sunday Times);"Gender discrimination | Migrant & immigrant workers | Labour: General | Living wage | Reputation | Supply chain/""Fair trade""";Yes;https://www.business-humanrights.org/en/response-by-adidas-report-by-sunday-times-uk-alleges-labour-abuses-at-adidas-suppliers-in-fuzhou-including-shunda-factory;https://www.business-humanrights.org/en/adidas
adidas;Clothing & textile | Footwear | Retail | Sporting goods;Germany;Sudan;12;Dec;2007;Dream for Darfur - Company responses;Genocide | Complicity | Security issues & conflict zones: General;Yes;https://www.business-humanrights.org/en/response-by-adidas-olympic-dream-for-darfur-calls-on-olympic-corporate-sponsors-including-adidas-to-raise-sudan-concerns-with-chinese-govt;https://www.business-humanrights.org/en/adidas
adidas;Clothing & textile | Footwear | Retail | Sporting goods;Germany;Thailand;30;Jun;2006;"New Thai study: Women making adidas World Cup footballs and Mikasa footballs get ""poverty wages""";"Labour: General | Living wage | Supply chain/""Fair trade""";Yes;https://www.business-humanrights.org/en/adidas-response-to-the-report-“the-life-of-football-factory-workers-in-thailand”-issued-by-thai-labour-campaign-and-the-ccc-on-june-30-2006;https://www.business-humanrights.org/en/adidas
Aditya Birla Group;Diversified/Conglomerates;India;India;31;Oct;2012;India: Coal mines & thermal plants leading to environmental & health problems among residents of Singrauli;Environment: General | Health: General (including workplace health & safety);No;https://www.business-humanrights.org/en/aditya-birla-group-did-not-respond-to-india’s-minamata-mercury-from-coal-mines-thermal-power-plants-in-singrauli-reportedly-harming-health-environment;https://www.business-humanrights.org/en/aditya-birla-group
Advanced Micro Devices;Technology, telecom & electronics;USA;USA;20;Nov;2012;Company responses re lawsuit against SEC over final rule accompanying section 1502 of Dodd-Frank Act;"Security issues & conflict zones: General | Supply chain/""Fair trade""";Yes;https://www.business-humanrights.org/en/response-by-advanced-micro-devices-global-witness-calls-on-electronics-companies-to-issue-public-statements-outlining-their-position-on-lawsuit-filed-by-business-associations;https://www.business-humanrights.org/en/advanced-micro-devices
AECOM;Engineering;USA;Cambodia | Laos | Thailand | Vietnam;04;Dec;2013;Cambodia, Vietnam, Thailand Govts.call on Laos to submit Don Sahong Dam to an intergovernmental assessment, citing potentially high impact on fisheries;Poverty/Development/Economic & social rights: General | Environment: General;No;https://www.business-humanrights.org/en/aecom-did-not-respond-to-cambodia-vietnam-thailand-govts-call-on-laos-to-submit-don-sahong-dam-to-intergovernmental-assessment-citing-potentially-high-impact-on-fisheries;https://www.business-humanrights.org/en/aecom
Aegis Defence Services (part of Aegis Group);Security companies;United Kingdom;Afghanistan;11;Feb;2013;Afghanistan: Former Aegis Defense Services workers say inadequate labour practices & training left US embassy in Kabul vulnerable to attack;Labour: General;Yes;https://www.business-humanrights.org/en/aegis-defence-services’-response-re-inadequate-labour-practices-in-us-embassy-in-kabul-afghanistan;https://www.business-humanrights.org/en/aegis-defence-services-part-of-aegis-group
Aegis Defence Services (part of Aegis Group);Security companies;United Kingdom;;30;Jan;2008;Human Rights First, “Private Security Contractors at War: Ending the Culture of Impunity”: company responses & non-responses, Jan 2008;;Yes;https://www.business-humanrights.org/en/response-by-aegis-defence-services-part-of-aegis-group-private-security-contractors-at-war-ending-the-culture-of-impunity-report-by-human-rights-first;https://www.business-humanrights.org/en/aegis-defence-services-part-of-aegis-group
Aegon;Insurance;Netherlands;;15;Jul;2009;"SOMO ""overviews of controversial business practices 2008"" - and company responses";;Yes;https://www.business-humanrights.org/en/response-by-aegon-somo-overviews-of-controversial-business-practices-in-2008-on-companies-including-aegon;https://www.business-humanrights.org/en/aegon
Aeroflot;Aircraft/Airline;Russia;Russia;02;Feb;2012;Russia: Gay Aeroflot steward forced to marry woman to keep his job, local NGO says;Sexual orientation & gender identity (LGBT) discrimination | Labour: General;Yes;https://www.business-humanrights.org/en/aeroflot-response;https://www.business-humanrights.org/en/aeroflot
AeroVironment;Arms/Weapons;Americas: General;Bahrain | Yemen;06;Nov;2017;NGOs urge arms companies to boycott Bahrain defence conference over human rights concerns;Security issues & conflict zones: General;No;https://www.business-humanrights.org/en/aerovironment-did-not-respond;https://www.business-humanrights.org/en/aerovironment
