album,artist,country,label,year
Raw Tracks For Smooth People,Various,Belgium,Doctor Vinyl Records,2010.0
Into Your Life,*,UK,The Republic Of Desire,2006.0
Big Onion,Detroit Grand Pubahs,Germany,Poker Flat Recordings,2004.0
"<a class=""needs_changes"" href=""/master/106391-Fuckshuffle-EP/history#latest"">
<i class=""icon icon-exclamation-circle""></i>
            Needs Changes        </a>","
",Canada,M_nus,2007.0
Die Liebe,Stimming,Germany,Terminal M,2008.0
Molotov EP,Joseph Capriati,Italy,Analytic Trail,2008.0
Leave Luck To Heaven,Matthew Dear,US,Spectral Sound,2003.0
Format EP,*,Spain,Klitekture,2002.0
I Am,Andrey Zots,Germany,AFU Limited,2008.0
Endless Horizon,Shebuzzz,US,Toffler Music Entertainment,2016.0
Wanderheim EP,*,Germany,Register,2007.0
Cocoon Compilation J,Various,Germany,Cocoon Recordings,2010.0
{ Out Of Business },Camilla Green,Italy,Wonder Wet Records,2011.0
Kollektiv,Various,Germany,BPitch Control,2000.0
Rocking-Chair EP,Quite-k,Russia,Deep-X Recordings,2011.0
Elephant And Obelisk,Sutekh,US,Orac Records,2007.0
Close To The Beat / Smoothy,M.I.R.K.O.,Netherlands,EC Records,2009.0
Depart,Jasper,US,Cytrax,1999.0
Spool,Carl Sagan,Germany,43recordings,2009.0
Suckfish,Audion,US,Spectral Sound,2005.0
Aires Buenos,Various,US,Unfoundsound,2006.0
vakbekwaam,Olene Kadar,Germany,Mo's Ferry Prod.,2008.0
Bouncing Balls EP,Swinging Sisters,Germany,Testlauf,
Umek? Hell Yeah,Umek,Italy,Hell Yeah Recordings,2009.0
5.1,Moritz Von Pein,Germany,Kahlwild,2006.0
Kalte Füsse II Vol.2,Various,Germany,Opossum Recordings,2007.0
The Remedy Presents - Love Part One / Love Part Two,Johannes Heil,Germany,G-Series,2005.0
Uno,Verrina & Ventura,Italy,Howl (4),2015.0
Untitled,David Wulle & Andy Garcia,US,Docile Recordings,
Circle Of Dorth,Ion Ludwig,Germany,Stock5,2006.0
Temporary Suspension EP,Planetary Assault Systems,Germany,Ostgut Ton,2009.0
Diderot,Mathias Schaffhäuser,Germany,Biotop,2016.0
Сон Не Для Меня = Sleep Not Found,Various,Europe,трип,2016.0
This Time Around,Roswell Return,Netherlands,SD Records,2014.0
Kollektiv Artists. Volume 7. [Part 1],Various,Russia,Music Kollektiv,2012.0
The Black & White Lab,Robert Hood,US,M-Plant,2002.0
Discount Baby,Bodo Elsel,Germany,Playhouse,1999.0
Ministek,Ra-X,Belgium,KK Records,1996.0
Assbomb / Longcat,Ziggy Kinder,Germany,Ware,2009.0
Bleed Like Me,Break 3000,Germany,Dirt Crew Recordings,2008.0
Decompression EP,Mathew Jonson,Canada,M_nus,2004.0
Sibling Rivalry EP,Lex Gorrie,UK,Sleaze Records,2011.0
Micro E.P.,Oblongmonster,Argentina,Miniatura Records,2010.0
Variables,Various,Germany,Items & Things,2012.0
Gleis Zwei,M.I.A.,Germany,Sub Static,2001.0
Gaby,Die Stunde Null (2),Germany,Flying Beam Records,1997.0
Hermanos EP,Julian Jeweil,Canada,Plus 8 Records,2011.0
Nine Five EP,Jeng Do,Netherlands,Sound Architecture,2009.0
My Name Is,Boris Brejcha,Germany,Harthouse Mannheim,2010.0
Dr. Pyckle And Mr. Pryde,Pan/Tone,Germany,Sub Static,2007.0
New Arrival,Mark Broom,UK,Pure Plastic,2000.0
A Tribute To Klang Club,Various,Italy,Unclear,2014.0
T-Rex,Dot Wiggin,Canada,New Kanada,2007.0
Featuring The Dramatics,Farben,Germany,Klang Elektronik,1999.0
Chibullian,DJ Zank,Japan,U7 DJ Toolz,2000.0
MDR 01,Marcel Dettmann,Germany,Marcel Dettmann Records,2006.0
Banshee,Richard Belsom,Germany,Confused Recordings,2008.0
You Can Shake,Alex Bau,Hong Kong,Sino,2009.0
History,TXT,US,21/22 Corporation,2003.0
Geometry,Run Stop Restore,Canada,M_nus,2004.0
My Music Is My Space,Various,Germany,Statik Entertainment,2007.0
Eurotunnel / Calibration,John Tejada,Germany,~scape,2006.0
Document,Various,Netherlands,A1 Records,1998.0
Audiomatique 2.3: The Remixes,Various,Germany,Audiomatique Recordings,2008.0
Love,Quesh,Germany,Art Of Perception,2006.0
Kommunicate EP,Drumcell,US,Droid Recordings,2007.0
Deafness Records CD Two,Various,Hungary,Deafness Records,2012.0
Ghetto Of My Mind,Jackmate,Germany,Authentic Music,2002.0
Pets Of Plenty,Touchy Mob,Germany,Gingerbread Records,2009.0
"My Heart's In My Hand, And My Hand Is Pierced, And My Hand's In The Bag, And The Bag Is Shut, And My Heart Is Caught.",Phil Collins (3),Italy,Nero Collins,2015.0
Switch Stance E.P.,TD5,UK,Primate Recordings,1996.0
Blablakaux,*,France,Division Virtuel,2009.0
7th City Classics Vol. 2,Cabanne,US,7th City,2007.0
"<a class=""needs_changes"" href=""/master/1072299-Fathernature-2006-Remixes/history#latest"">
<i class=""icon icon-exclamation-circle""></i>
            Needs Changes        </a>","
",US,Immigrant,2006.0
Mopti,Eric Borgo,UK,Tsuba Records,2008.0
Legba,Dachshund,Germany,Contexterrior,2009.0
01.01-00.07.30H,M² (4),Germany,Shortage,2009.0
POLIS The Remixes Volume One,Billy Dalessandro,Portugal,SONICULTURE,2009.0
Achtein,Q_no,Germany,Ostwind Records,2009.0
The Piper,Norman,US,Synewave,1996.0
"<a href=""/master/227908-Dreiklangkapriolen/history#latest"">
<i class=""icon icon-info-circle""></i>
            Needs Vote        </a>","
",Germany,Musik Krause,2010.0
Schoolyard ,Peter Schumann,Germany,Bluecode Records,2011.0
Those Days,Kassem Mosse,Germany,Mikrodisko Recordings,2007.0
"<a class=""needs_changes"" href=""/master/406162-Mr-Dry-Glow-Worm/history#latest"">
<i class=""icon icon-exclamation-circle""></i>
            Needs Changes        </a>","
",Germany,Trapez,2008.0
Born-Against,Kalon,UK,Sandwell District,2008.0
AB010,Jeremdam,Slovenia,ABsense,1997.0
Split One,Jonny White,Switzerland,Perspectiv,2009.0
"<a class=""needs_changes"" href=""/master/208582-Djaxulator-EP/history#latest"">
<i class=""icon icon-exclamation-circle""></i>
            Needs Changes        </a>","
",France,Frankie Rec,2008.0
Unravelled Vol. 1,Various,US,context,2003.0
Quadrophobia,Apoll,Germany,Punkt Music,2004.0
Rhythm A.D.,Patrik Skoog,Germany,Native Diffusion,2000.0
The Pong,Audion,US,Spectral Sound,2004.0
Parquet,Elektro Guzzi,Germany,Macro,2011.0
ONce,Allì Borèm,Germany,Desolat,2012.0
Sand On The Floor,And.Id,Germany,Mobilee,2008.0
"<a class=""needs_changes"" href=""/master/308570-Marionette/history#latest"">
<i class=""icon icon-exclamation-circle""></i>
            Needs Changes        </a>","
",Canada,Wagon Repair,2005.0
Exit To New York,Various,Belgium,Radical Ambient,1996.0
Electronic Dance Music,Omicron,Belgium,Radical Ambient,1997.0
Die Maschinen Kontrollieren Uns,Boris Brejcha,Germany,Harthouse Mannheim,2007.0
Prism,Scan X,Germany,Harthouse Mannheim,2008.0
Untitled,Nuel,Italy,Aquaplano,2008.0
Gone Wild / Mixtape,Sébastien Léger,France,Mistakes Music,2010.0
Mekanikk EP,Smuk,Norway,Prepost,2003.0
Schieber.03,Fusiphorm,Germany,Schieber,2006.0
Weakend Polka,MRI,Germany,Resopal Schallware,2011.0
Blitz / Blank,Alter Ego,Germany,Klang Elektronik,2007.0
Plak Reconstruction,Chaton + Hopen,Switzerland,Plak Records,2006.0
Don't Wake Up EP,Eidolon,Sweden,We Are,2006.0
Cracked Poisson EP,K.atou,Germany,Einmaleins Musik,2006.0
Carbonela EP,Lucas Mari,Germany,Stock5,2007.0
Wreck EP,Jakob Kosteljanetz,Denmark,Tic Tac Toe Records,2005.0
Science Fiction Summer Movie,Insect O.,Germany,Etui Records,2008.0
Level Of Detail,LOD,Spain,Sinergy Networks,2007.0
Nadine / Fahrstuhl,Station 17,Germany,17rec.,2006.0
Multiplicanciones2,Alex Under,Spain,Apnea,2006.0
Love Letters,Alexkid,France,F Communications,2007.0
Midnight Teeth,Bryan Zentz,US,Plus 8 Records,2009.0
Working Class,Daniel Meteo,Germany,Shitkatapult,2009.0
Mindtours 05,Steevio,UK,Mindtours,2002.0
Scuba (Remixed By Oskar Offermann & Aera),Sevensol & Bender,Germany,Fauxpas Musik,2015.0
Rumours,Holger Flinsch,Germany,Substance3,2004.0
A Hair - Dressing Story EP,Frankie (2),France,Frankie Rec,2007.0
Dontact EP,Frankie (2),France,Faste Music,2008.0
Salute! EP,Frankie (2),France,Faste Music,2008.0
Quantique,Jonson,UK,Beard Man,2009.0
The Clapper,Detroit Grand Pubahs,Germany,Poker Flat Recordings,2003.0
Kalk,Lovecore,Germany,Auftrieb,1996.0
From Berlin To Buenos Aires (Part 1 Of 3),Raeyk,Germany,Varianz Records,2010.0
Cyclic / Flux,Emmanuel Top,France,Planete Rouge Records,2011.0
Untitled,Various,Switzerland,Anarres Records,1996.0
Green Microdots EP,Caustic Visions,UK,Caustic Visions,1994.0
Elephant Skins EP,Glimpse,UK,Leftroom,2008.0
Sleepy Vigil E.P.,Mr. Cloudy,France,ZeECc,2009.0
[upiter],T-Quest,Belgium,Music Man Records,1997.0
Vibra Slap EP,*,Austria,Driving Forces Recordings,2009.0
Cq Ea8aK,*,Belgium,Sirius Pandi,2008.0
Bredow / Damm3,Ricardo Villalobos,Germany,Perlon,2001.0
Bastlers Feat. / Polished2Chrome,Bastlers,Germany,Proton Records,1999.0
French Broken,Baraso,Netherlands,Ruis,2017.0
Moonside Playground,Heiko Laux,Germany,Kanzleramt,1996.0
Downtown,Monobox,US,M-Plant,1997.0
Double-Checked,Sascha Funke,Germany,BPitch Control,2008.0
Auditory,Simon Stokes,Georgia,Minibus (2),2008.0
Killerbot,Earth Frequency,Germany,Aural Satisfaction,1998.0
Vacu Uhm,Ben'Jammin',France,Groove Life Records,2011.0
Blank Below,Paul Mac,UK,Stimulus Recordings,1998.0
Before We Come,*,Germany,Playtracks,2009.0
Motion Cell EP,Ninohengst,,66Khz Productions,2012.0
"<a class=""needs_changes"" href=""/master/261555-Issst/history#latest"">
<i class=""icon icon-exclamation-circle""></i>
            Needs Changes        </a>","
",UK,Issst:Recordings,2007.0
Princess Guacamole,Rodriguez Jr.,Germany,Mobilee,2010.0
Dub Crystal,Bart Skils & Anton Pieete,Netherlands,100% Pure,2009.0
What I Said,Maurizio Vitiello,Italy,Bauns,2009.0
Cabinet Classics 1994-1998,Various,Canada,Plus 8 Records,2006.0
...Im Garten,André Galluzzi,Germany,Taksi,2003.0
De Begg Deg,Pheek,Canada,Kalimari Musique,2007.0
Suprema,Gaetano Parisio,Italy,Conform,2002.0
Babou,Julian Jeweil,Canada,Plus 8 Records,2010.0
Helen In The Keller,Run Stop Restore,Canada,M_nus,2009.0
Vibrations,Output (8),UK,Dogmatik Records,2009.0
Sonnentag,Danjel Esperanza,Germany,Backdoor Beauty,2011.0
Figlio Di Montana,Marcelo Tag,Belgium,Sirius Pandi,2008.0
One,Mark Wehlke,Germany,F-Ton,2005.0
Mad EP,Julian Jeweil,France,Form Music,2013.0
Mindtours 2,Steevio,UK,Mindtours,2001.0
Coffee Shop,Emmanuel (8),Netherlands,100% Pure,2011.0
Medusa Smile (Don't Look Back...),Ghostman,Canada,Wagon Repair,2005.0
Rufus Remixes,Heron (6),Germany,Limikola,2011.0
Mindtours 04,Steevio,UK,Mindtours,2002.0
Geko EP,*,Russia,Deep-X Recordings,2011.0
MD2.4,MD2,Netherlands,MD2,2011.0
Artematique,Wonderful Wanderer,Germany,Subspiele Records,2015.0
The Clique EP,Frame Six,France,Black & White Recording,2005.0
Honeycomb EP,Luke Abbott,UK,Amazing Sounds,2010.0
Picaro EP,Franco Cinelli,Germany,Milnor Modern,2005.0
Note To Self,Johnny Arthur,UK,Veryverywrongindeed Recordings,2009.0
Shakuhachi,Mike Parker,US,Geophone,1998.0
Finnish Experience EP,*,Germany,Craft Music,2008.0
Raw Macro,Farben,Germany,Klang Elektronik,2000.0
Secrets,MRZ,Switzerland,Nice Try Records,2011.0
Wanda's Wig Wax (Mixes),Slacknoise,UK,Underl_ne,2005.0
The Manipulator Of,Ion Ludwig,Germany,Resopal Red,2008.0
Push The Patton,Tigerskin,Germany,Dirt Crew Recordings,2007.0
Fabric 46,Claude VonStroke,UK,Fabric (2),2009.0
Warsaw Bread,False,Canada,Plus 8 Records,2002.0
False,False,Canada,Plus 8 Records,2003.0
Chapter Ten,Gaetano Parisio,Italy,Southsoul,2006.0
Nothing Is Written,Phantom/Ghost,Germany,Ladomat 2000,2003.0
Dross Glop 3,Battles,UK & Europe,Warp Records,2012.0
Blood EP,Stefan Goldmann,Germany,Perlon,2005.0
Still Sequence,Etc. (4),Japan,elementperspective,2013.0
Re:Sound EP,A.Mochi,UK,Mote-Evolver,2007.0
Sweet Heini / Buccaneer,Jackmate,Germany,Phil e,2007.0
Black Bag Job,Donnacha Costello,Germany,Minimise,2007.0
All That Jazz,*,Germany,Great Stuff Recordings,2008.0
Possible Conclusions To Stories That Never End,Mike Shannon,Germany,~scape,2006.0
Neural Block,*,Canada,M_nus,2006.0
Blank Fade,*,Canada,M_nus,2008.0
Folger,Shin (6),Germany,Yellow Tail,2008.0
Chica Wappa,Alex Smoke,UK,Soma Quality Recordings,2004.0
Paradolia,Alex Smoke,UK,Soma Quality Recordings,2006.0
Circus Maximus,Solieb,Germany,Maschine,2005.0
Halo / The Drums,Solieb,Germany,Maschine Ltd.,2007.0
T 2 Da C (Da Remixes),Hardfloor,Germany,Hardfloor,2005.0
People Be Happy / Rhythm Dance,Steve Reid (2),UK,Domino,2007.0
Mifa / JR500 (John Tejada Remix),Alka,Germany,Resopal Schallware,2002.0
Romantique,Nico Purman,Japan,Mule Electronic,2007.0
Hamilton (Versions),*,Germany,Italic,2008.0
Let's Do It,Dave Hughes,US,Palette Recordings,2007.0
R U OK,Ambivalent,Canada,M_nus,2007.0
One World One Future,Armando,Belgium,Radikal Fear,1996.0
Beatport Exclusive,Solieb,Germany,Maschine,2006.0
Nostalgik.3,Plastikman,Canada,M_nus,2007.0
Untitled,Floorplan,US,Drama,1999.0
Technatural EP,Robert Hood,US,M-Plant,2000.0
Farben. Says: Don't Fight Phrases,Farben,Germany,Klang Elektronik,2002.0
"No, No, No, No EP",Raudive,Germany,Klang Elektronik,2006.0
"<a href=""/master/70175-Focus-On-Guido-Schneider/history#latest"">
<i class=""icon icon-info-circle""></i>
            Needs Vote        </a>","
",Europe,Poker Flat Recordings,2006.0
Sopot,Slg,Poland,Channels Records,2007.0
Familia Remix EP 2,Pier Bucci,UK,Crosstown Rebels,2006.0
Labyrinths Designer E.P.,Henry Saiz,Germany,Paradigma Musik,2007.0
Impulsion Parasite Rmxs Part 2,Dapayk Solo,Germany,Mo's Ferry Prod.,2007.0
Crisis,Jake Fairley,Germany,Sender Records,2002.0
Parabolica,AOKI Takamasa,Japan,Op.disc,2006.0
The Know Returns EP,Mike Shannon,Canada,Cynosure,2003.0
Zinga,Italoboyz,Germany,Get Physical Music,2008.0
Roland Casper E.P. Volume Two,Roland Casper,Germany,Think Green,1995.0
"<a href=""/master/88366-Galactic-Ass-Creatures-From-Uranus/history#latest"">
<i class=""icon icon-info-circle""></i>
            Needs Vote        </a>","
",Germany,Poker Flat Recordings,2004.0
Peking Duck,*,Netherlands,Intacto Records,2010.0
Innerelements,Ken Ishii,Belgium,R & S Records,1994.0
World Series Vol 2,Phonogenic,UK,20:20 Vision,2007.0
"<a class=""needs_changes"" href=""/master/171480-Bryzant-Games/history#latest"">
<i class=""icon icon-exclamation-circle""></i>
            Needs Changes        </a>","
",Germany,Definition Records,2008.0
Evolver,Peter Horrevorts,Germany,Kanzleramt,2007.0
Cabrini E.P.,Ibrahim Alfa,UK,Automatic Records,1999.0
Ref.01,Endorphine,France,Ombre Sonore,2000.0
Una Rosa,Niconé,Germany,Stil Vor Talent,2008.0
Ghetto Trax,*,US,Accelerate,1993.0
Impulse Control Remixed,Decimal,US,Enemy Records (2),2009.0
Collective 1,Lee Van Dowski,Germany,BPitch Control,2006.0
1914 EP,Taylan,UK,Living Records,2007.0
Unwelcome Visitor EP,Nikola Grebovic,Argentina,Miniatura Records,2008.0
From Buenos Aires To Istanbul (The Originals),Various,Argentina,Miniatura Records,2008.0
UNdefinition Compilation,Various,Germany,Unoiki,2010.0
Heimatmelodie EP,Foxx,Germany,Foxx,1997.0
Pops,Riou,Belgium,KK Records,1997.0
"Re:mix Vol. 1 - Dave House ""A Path With A Heart""",Dave House,UK,ISIGTUTEOT,2006.0
Nuport / Eight,Stefano Greppi,Italy,Schermate Recordings,2010.0
MDRL EP,Mike Dehnert,Germany,Fachwerk,2008.0
The Subsequence EP.,Patrik Skoog,Sweden,Native Diffusion,2000.0
Arabxilla,*,Germany,BPitch Control,2011.0
17000,Alex Bau,Germany,DMOM,2011.0
Mushaliatu,Loran Valdek,Italy,Divided Recordings,2011.0
Be Alone EP,Loran Valdek,US,Stratospherik,2007.0
De Machine Des Duivels,Rude 66,Netherlands,Bunker Records,2000.0
Sambada,Simone Cristini,Italy,Stereoseven Plus,2009.0
Scorpion Walking,Tom SPL,Hungary,Audioexit Records,2010.0
Echinodon EP,Stefny,Canada,Archipel,2010.0
After Hours Edition: Blue EP,Ben Rourke,UK,Autoreply Music,2009.0
Concept 1 - 96:CD,Concept 1,Canada,M_nus,1998.0
Infidelity EP,Christian Bloch,Denmark,Funque Droppings,1999.0
Coconuts / Who Said That,Shlomi Aber,Israel,Be As One Imprint,2011.0
Regis / Monoton Versions,Ike Yard,France,Desire Records (4),2012.0
Force: 10th Anniversary Remix Contest,Technasia,Hong Kong,Technasia Records,2010.0
Blood Money E.P.,Mark Hawkins,Germany,Feinwerk,2005.0
This Reality EP,Knobs,Germany,Nachtstrom Schallplatten,2011.0
All This & This All,Kolombo,Germany,Vice Versa Recordings,2006.0
Retro EP,Heron (6),Germany,360º Records,2008.0
Windmill EP,Danilo Vigorito,Switzerland,Speaker Attack,2001.0
Rainshower EP,Dave DK,Germany,Playhouse,2006.0
Remikks Potpourri II,*,Germany,Mute,2007.0
Sounds From Can Elles,Richie Hawtin,UK,DJ Magazine,2008.0
Watergate 02,Sascha Funke,Germany,Watergate Records,2008.0
Disconnect,Plastikman,Europe,NovaMute,2003.0
Chamber Nights,Christian Burkhardt,Germany,Cocoon Recordings,2014.0
Knopfgeburt,Freedarich & Stiggsen,Germany,Schallschnelle,2007.0
Tecnica E.P.,Tecnica,Japan,Wonkavator Records,2011.0
Fiction Fiction,Terence Fixmer,France,From Jupiter Recordings,2009.0
Mit Pauken Und Trompeten Vol. 1,Je Dàvu,Germany,Platzhirsch Schallplatten,2009.0
Buenaz Nochez EP,Marcus Meinhardt,Germany,Upon.You,2007.0
Disto,Rarefaktion,US,Clicktracks,2003.0
Chordal / Law Of Return,Peter Kruder,Germany,Macro,2009.0
The Dance Paradox,Redshape,Netherlands,Delsin,2009.0
Stealth EP,Simone Tavazzi,Netherlands,Luxa Flex,2008.0
Control / Untitled Dream,Laric,Italy,Schermate Recordings,2009.0
Babyfoot EP,The Modern Deep Left Quartet,Canada,Wagon Repair,2005.0
The Night Ain't Over,The Architect,Germany,Karloff,2004.0
Love Letters EP,Arnaud,US,Bleepsequence,2014.0
The Line In Between (Pt. 3/3),*,Finland,Frozen North Recordings,2007.0
It's Gettin' Kinda Hectic Remixe,3 Channels,Germany,Trapez,2008.0
Clubkraft,Fletcher Mundson Syndrom,Germany,Plusquam Records,2001.0
Secret Files,Underground Systems,Germany,Super 6 Records Goodies,2006.0
Stuttgart E.P.,Konstantin Sibold,Germany,Snork Enterprises,2012.0
Friendship E.P. Vol.1,Various,Italy,Fahrenheit Music,2008.0
WaWuWe,Minilogue,Europe,Mule Electronic,2010.0
Repetition & Nonsense,Kit Clayton,US,Drop Beat Records,1999.0
Glue EP,The Glitz,Greece,Material Series,2010.0
Ligrgirl EP,Octogen,UK,Soma Quality Recordings,2006.0
Krak EP,Floating Mind,Switzerland,Monokrak Records,2006.0
Revenge Of The Nerds,Lauhaus,Netherlands,Remote Area,2008.0
MDR 04,Marcel Dettmann,Germany,Marcel Dettmann Records,2008.0
Noose,Elon,US,Clink Music,2008.0
Happy Ending,Camea,Germany,Clink Music,2009.0
Jump Rope EP,Sierra Sam & Marcus Vector,Germany,Contexterrior,2008.0
Plutonium,Der Dritte Raum,Germany,Harthouse Mannheim,2007.0
No Spam Here EP,Boola (2),Denmark,Lomidhigh Lmtd.,2008.0
Growing,Jorge Martins (2),Germany,Trackord Records,2011.0
War / Games Of Mind,Sasha Wins & Igor Shep,Germany,Kondens,2009.0
Berne Electronic,Various,Switzerland,M.G.R.,1997.0
Mini One,[e]rik_MnMl,Argentina,Miniatura Records,2009.0
Hotwire,DJ Hyperactive,US,Contact,1996.0
The Joint EP,*,Spain,Supernature,2007.0
Tehnika 1,Various,Slovenia,Tehnika,2001.0
Micromix 141,Ferik,Italy,Micromix,2008.0
The Overture,Marc Romboy,Sweden,Tronic,2011.0
Mental Abyss E.P.,Syntax Error,Germany,Snork Enterprises,2009.0
Slipping Through The Cracks EP,Alejandro Sab,Canada,Plus 8 Records,2009.0
Eitherway,*,Germany,Non Standard Productions,2009.0
Telomeres,Bézier,US,Dark Entries,2015.0
Kreiskollaps,Christian Burkhardt,Germany,Oslo,2007.0
Contemporary Box,Christian Burkhardt,Germany,Oslo,2008.0
Coloured In Memory,Fairmont,UK,Border Community,2007.0
Undercover (The Single),Marc Houle,Germany,Items & Things,2012.0
Donut,M.A.N.D.Y. Vs. Booka Shade,,Living The Dream,2010.0
Etsche,Geoff White,US,Spectral Sound,2005.0
Motormouth Variations,Bob Ostertag,UK,Sandwell District,2011.0
Wordless,Lem (4),Italy,Wordless,2008.0
Cocoon Compilation L,Various,Germany,Cocoon Recordings,2012.0
La Vie Est Precieuse EP,Jens Zimmermann,Spain,Vinylclub,2011.0
Kollektiv Artists. Volume 6.,Various,Russia,Music Kollektiv,2011.0
Totally Snorked E.P.,Phil Kieran,Germany,Snork Enterprises,2010.0
Uvicopi EP,Gabriel Ferreira,Argentina,Miniatura Records,2009.0
Das Akustische Labyrinth,Andreas Kauffelt,Germany,PV,2002.0
Rhythms & Silhouettes,Leandro Gamez,Germany,Fieber Records,1999.0
Darkbeat,Alexander Obukhov,Russia,Hot Tape Studio,2001.0
Bingo EP,James Venturi,Germany,Religio Audio,2008.0
Urban Forest,Dosem,Spain,Soundfate,2008.0
Bareknuckle,Mark Du Mosch,Netherlands,SD Records,2010.0
Snowblind,Ambivalent,Canada,M_nus,2012.0
Aliens Made My Voice Pitched Up E.P.,Keinzweiter,Germany,Snork Enterprises,2007.0
Elandstraat Session,Salò Mentale (2),Netherlands,Stichting Maldoror,2011.0
On The Case / The Deal,Floorplan,US,Duet,2001.0
I'm With An Animal,*,US,Hidden Recordings,2010.0
Eingang,Torul,Germany,Force Inc. Music Works,2000.0
Tactile Green EP,Mike Shannon,Canada,Cynosure,2007.0
Anonymous Release 3,Anonym,US,Anonymous Release,2005.0
Sabado Gris,LOD,Spain,Klitekture,2006.0
Fraktion,Fraktion,Germany,Resopal RED,2006.0
Minimalism,Terrence Dixon,US,Utensil Records,1995.0
